PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,003,020031908,32,CABA
02,003,020031909,32,CABA
02,003,020031910,32,CABA
02,003,020032001,32,CABA
02,003,020032002,32,CABA
02,003,020032003,32,CABA
02,003,020032004,32,CABA
02,003,020032005,32,CABA
02,003,020032006,32,CABA
02,003,020032007,32,CABA
02,003,020032008,32,CABA
02,003,020032009,32,CABA
02,003,020032010,32,CABA
02,003,020032011,32,CABA
02,003,020032101,32,CABA
02,003,020032102,32,CABA
02,003,020032103,32,CABA
02,003,020032104,32,CABA
02,003,020032105,32,CABA
02,003,020032106,32,CABA
02,003,020032107,32,CABA
02,003,020032108,32,CABA
02,003,020032109,32,CABA
02,003,020032110,32,CABA
02,003,020032201,32,CABA
02,003,020032202,32,CABA
02,003,020032203,32,CABA
02,003,020032204,32,CABA
02,003,020032205,32,CABA
02,003,020032206,32,CABA
02,003,020032207,32,CABA
02,003,020032208,32,CABA
02,003,020032209,32,CABA
02,003,020032301,32,CABA
02,003,020032302,32,CABA
02,003,020032303,32,CABA
02,003,020032304,32,CABA
02,003,020032305,32,CABA
02,003,020032306,32,CABA
02,003,020032307,32,CABA
02,003,020032308,32,CABA
02,003,020032309,32,CABA
02,003,020032310,32,CABA
02,003,020032401,32,CABA
02,003,020032402,32,CABA
02,003,020032403,32,CABA
02,003,020032404,32,CABA
02,003,020032405,32,CABA
02,003,020032406,32,CABA
02,003,020032407,32,CABA
02,003,020032408,32,CABA
02,003,020032409,32,CABA
02,003,020032501,32,CABA
02,003,020032502,32,CABA
02,003,020032503,32,CABA
02,003,020032504,32,CABA
02,003,020032505,32,CABA
02,003,020032506,32,CABA
02,003,020032507,32,CABA
02,003,020032508,32,CABA
02,003,020032509,32,CABA
02,003,020032601,32,CABA
02,003,020032602,32,CABA
02,003,020032603,32,CABA
02,003,020032604,32,CABA
02,003,020032605,32,CABA
02,003,020032606,32,CABA
02,003,020032607,32,CABA
02,003,020032608,32,CABA
02,003,020032609,32,CABA
02,003,020032701,32,CABA
02,003,020032702,32,CABA
02,003,020032703,32,CABA
02,003,020032704,32,CABA
02,003,020032705,32,CABA
02,003,020032706,32,CABA
02,003,020032707,32,CABA
02,004,020040101,32,CABA
02,004,020040102,32,CABA
02,004,020040103,32,CABA
02,004,020040104,32,CABA
02,004,020040105,32,CABA
02,004,020040106,32,CABA
02,004,020040107,32,CABA
02,004,020040108,32,CABA
02,004,020040109,32,CABA
02,004,020040110,32,CABA
02,004,020040111,32,CABA
02,004,020040112,32,CABA
02,004,020040113,32,CABA
02,004,020040114,32,CABA
02,004,020040201,32,CABA
02,004,020040202,32,CABA
02,004,020040203,32,CABA
02,004,020040204,32,CABA
02,004,020040205,32,CABA
02,004,020040206,32,CABA
02,004,020040207,32,CABA
